date,user_id,value,point_differential
2012-01-26,72,2196,0
2012-01-26,158,2029,0
2012-01-26,165,3962,390
2012-01-26,225,8702,870
2012-01-26,273,1800,0
2012-01-26,303,2391,0
2012-01-26,347,9268,920
2012-01-26,369,2584,250
2012-01-26,389,2880,0
2012-01-26,450,548,0
2012-01-26,504,1240,0
2012-01-26,522,3176,310
2012-01-26,531,933,0
2012-01-26,549,2760,270
2012-01-26,637,4340,430
2012-01-26,660,0,0
2012-01-26,706,954,90
2012-01-27,247,2025,200
2012-01-27,288,2031,200
2012-01-27,347,8658,860
2012-01-27,400,2508,0
2012-01-27,410,1181,110
2012-01-27,422,5251,520
2012-01-27,444,1129,0
2012-01-27,455,4940,490
2012-01-27,522,2383,230
2012-01-27,528,602,60
2012-01-27,587,2279,0
2012-01-27,602,2537,250
2012-01-27,706,754,70
2012-01-27,737,3527,350
2012-01-28,13,5053,0
2012-01-28,65,4035,0
2012-01-28,70,1635,160
2012-01-28,72,1587,0
2012-01-28,122,1980,190
2012-01-28,139,3883,380
2012-01-28,181,2523,0
2012-01-28,191,8436,0
2012-01-28,202,4376,430
2012-01-28,225,8005,800
2012-01-28,257,3636,360
2012-01-28,268,9617,960
2012-01-28,310,4140,410
2012-01-28,343,3336,0
2012-01-28,369,2849,280
2012-01-28,409,1302,130
2012-01-28,414,3001,0
2012-01-28,423,5987,590
2012-01-28,436,3491,0
2012-01-28,455,6290,620
2012-01-28,472,5475,540
2012-01-28,483,2225,220
2012-01-28,536,9251,920
2012-01-28,553,0,0
2012-01-28,558,2310,230
2012-01-28,565,3476,0
2012-01-28,630,1644,160
2012-01-28,693,1238,120
2012-01-28,714,2092,200
2012-01-28,764,1705,170
2012-01-29,2,2524,250
2012-01-29,72,1438,0
2012-01-29,99,2452,240
2012-01-29,102,2986,290
2012-01-29,115,5038,500
2012-01-29,202,4182,410
2012-01-29,205,234,0
2012-01-29,299,1582,150
2012-01-29,322,4071,400
2012-01-29,423,7326,730
2012-01-29,509,6142,610
2012-01-29,512,1253,0
2012-01-29,539,3963,390
2012-01-29,566,1330,0
2012-01-29,675,1004,0
2012-01-29,680,1192,110
2012-01-29,716,1766,170
2012-01-29,747,2058,200
2012-01-29,795,2205,0
2012-01-30,5,1762,170
2012-01-30,14,6365,630
2012-01-30,146,7233,720
2012-01-30,151,1677,160
2012-01-30,189,863,0
2012-01-30,190,3819,380
2012-01-30,227,1828,180
2012-01-30,272,1450,140
2012-01-30,307,1168,0
2012-01-30,319,2107,210
2012-01-30,329,5005,500
2012-01-30,369,2559,250
2012-01-30,398,1451,0
2012-01-30,423,3707,370
2012-01-30,440,1714,0
2012-01-30,454,2203,0
2012-01-30,462,3133,310
2012-01-30,504,1869,0
2012-01-30,522,3446,340
2012-01-30,565,4207,0
2012-01-30,637,5281,520
2012-01-30,733,350,0
2012-01-30,803,188,0
2012-01-30,815,94,0
2012-01-31,12,2733,270
2012-01-31,61,454,0
2012-01-31,106,5028,500
2012-01-31,146,6759,670
2012-01-31,202,4229,420
2012-01-31,213,2553,250
2012-01-31,225,8704,-4180
2012-01-31,280,150,10
2012-01-31,307,1265,0
2012-01-31,395,1133,0
2012-01-31,460,1979,190
2012-01-31,464,4389,0
2012-01-31,483,1842,180
2012-01-31,486,1498,140
2012-01-31,492,2960,290
2012-01-31,566,392,0
2012-01-31,628,4521,0
2012-01-31,667,1950,190
2012-01-31,685,817,80
2012-01-31,707,5653,560
2012-01-31,714,1183,110
2012-01-31,727,1873,180
2012-02-01,55,5194,510
2012-02-01,61,1633,0
2012-02-01,64,4516,450
2012-02-01,102,4060,400
2012-02-01,125,3753,0
2012-02-01,126,2400,0
2012-02-01,146,6946,690
2012-02-01,205,532,0
2012-02-01,216,2764,270
2012-02-01,288,1807,180
2012-02-01,307,2020,0
2012-02-01,343,2178,0
2012-02-01,409,1220,120
2012-02-01,423,6171,-4440
2012-02-01,465,3266,0
2012-02-01,482,5276,0
2012-02-01,486,930,90
2012-02-01,522,3845,380
2012-02-01,637,5387,530
2012-02-01,714,2037,200
2012-02-01,719,1281,0
2012-02-01,779,3724,370
2012-02-01,792,456,0
2012-02-01,845,176,0
2012-02-02,10,1743,170
2012-02-02,55,4603,460
2012-02-02,70,2522,250
2012-02-02,321,855,80
2012-02-02,322,3810,380
2012-02-02,352,728,0
2012-02-02,455,5293,520
2012-02-02,482,5279,0
2012-02-02,518,1366,130
2012-02-02,637,4993,490
2012-02-02,716,1332,130
2012-02-02,765,11953,0
2012-02-02,779,4180,410
2012-02-02,797,1608,0
2012-02-02,837,199,10
2012-02-02,850,1187,0
2012-02-03,26,1304,0
2012-02-03,155,2826,280
2012-02-03,160,1109,110
2012-02-03,216,874,80
2012-02-03,274,2335,0
2012-02-03,322,4022,400
2012-02-03,422,5127,510
2012-02-03,487,1176,0
2012-02-03,562,2011,0
2012-02-03,566,4039,0
2012-02-03,624,1497,0
2012-02-03,667,1551,150
2012-02-03,697,1375,130
2012-02-03,819,3925,390
2012-02-03,915,2107,210
2012-02-03,916,2038,0
2012-02-03,923,5327,530
2012-02-04,6,2589,250
2012-02-04,55,4213,420
2012-02-04,62,39,0
2012-02-04,85,2335,0
2012-02-04,87,1831,0
2012-02-04,115,4232,420
2012-02-04,171,1851,180
2012-02-04,226,7022,0
2012-02-04,227,873,80
2012-02-04,291,2285,220
2012-02-04,310,6030,600
2012-02-04,355,709,0
2012-02-04,454,1900,0
2012-02-04,477,1983,190
2012-02-04,479,5427,0
2012-02-04,481,3914,390
2012-02-04,487,1611,0
2012-02-04,522,2597,250
2012-02-04,547,1440,140
2012-02-04,553,484,0
2012-02-04,640,1960,190
2012-02-04,670,982,0
2012-02-04,707,6598,650
2012-02-04,763,2046,0
2012-02-04,779,4158,410
2012-02-04,803,436,0
2012-02-04,819,3302,330
2012-02-04,864,2447,240
2012-02-04,913,2451,0
2012-02-04,946,1455,0
2012-02-05,43,1444,0
2012-02-05,46,1845,180
2012-02-05,55,4303,430
2012-02-05,69,1142,0
2012-02-05,115,4784,470
2012-02-05,172,5923,590
2012-02-05,216,3720,370
2012-02-05,275,1263,0
2012-02-05,280,805,80
2012-02-05,310,5296,520
2012-02-05,349,7034,700
2012-02-05,382,2250,220
2012-02-05,407,2808,280
2012-02-05,423,8970,890
2012-02-05,482,5120,0
2012-02-05,490,1999,0
2012-02-05,570,1902,0
2012-02-05,615,4203,420
2012-02-05,703,2372,230
2012-02-05,716,1616,160
2012-02-05,717,1169,110
2012-02-05,723,1990,0
2012-02-05,744,1697,0
2012-02-05,773,2969,290
2012-02-05,779,3462,340
2012-02-05,832,3646,360
2012-02-05,865,1904,190
2012-02-05,867,4719,0
2012-02-05,937,4946,0
2012-02-05,947,2635,260
2012-02-06,133,3243,320
2012-02-06,146,7444,740
2012-02-06,155,2229,220
2012-02-06,159,3618,360
2012-02-06,160,887,80
2012-02-06,161,4923,490
2012-02-06,191,8514,0
2012-02-06,202,4250,420
2012-02-06,237,934,0
2012-02-06,258,1583,0
2012-02-06,268,8935,890
2012-02-06,293,1689,160
2012-02-06,323,1463,140
2012-02-06,423,6428,640
2012-02-06,440,2555,0
2012-02-06,444,0,0
2012-02-06,581,299,0
2012-02-06,630,748,70
2012-02-06,637,4776,470
2012-02-06,712,3871,0
2012-02-06,714,2538,250
2012-02-06,716,2108,210
2012-02-06,732,1809,0
2012-02-06,765,11208,0
2012-02-06,997,4379,0
2012-02-06,1003,3624,360
2012-02-07,68,955,0
2012-02-07,176,3707,370
2012-02-07,207,3567,350
2012-02-07,291,3207,320
2012-02-07,307,2240,0
2012-02-07,318,3281,320
2012-02-07,395,705,0
2012-02-07,480,2998,290
2012-02-07,565,3008,0
2012-02-07,630,1739,170
2012-02-07,667,2787,270
2012-02-07,792,1108,0
2012-02-07,797,1384,0
2012-02-07,838,1671,160
2012-02-07,865,2503,250
2012-02-07,867,5755,0
2012-02-08,55,3924,390
2012-02-08,87,2654,0
2012-02-08,95,1710,0
2012-02-08,99,3155,310
2012-02-08,216,3654,360
2012-02-08,351,1860,0
2012-02-08,356,2823,0
2012-02-08,363,3460,340
2012-02-08,371,1773,0
2012-02-08,432,165,10
2012-02-08,455,4581,450
2012-02-08,462,2494,240
2012-02-08,475,2204,220
2012-02-08,486,1344,130
2012-02-08,518,1693,160
2012-02-08,549,1408,140
2012-02-08,588,6914,0
2012-02-08,598,797,70
2012-02-08,637,5001,500
2012-02-08,700,801,0
2012-02-08,702,613,0
2012-02-08,734,3942,390
2012-02-08,764,1812,180
2012-02-08,776,2782,270
2012-02-08,779,3166,310
2012-02-08,937,4711,0
2012-02-08,950,2361,0
2012-02-08,997,3687,0
2012-02-08,1034,2690,260
2012-02-08,1052,1485,0
2012-02-09,6,3293,320
2012-02-09,23,976,90
2012-02-09,85,2118,0
2012-02-09,102,1990,190
2012-02-09,164,4335,0
2012-02-09,288,867,80
2012-02-09,307,2475,0
2012-02-09,372,1192,110
2012-02-09,423,7424,740
2012-02-09,480,3453,340
2012-02-09,484,2279,0
2012-02-09,487,1110,0
2012-02-09,509,5835,580
2012-02-09,611,85,0
2012-02-09,661,1773,170
2012-02-09,670,1960,0
2012-02-09,729,2399,230
2012-02-09,734,4677,460
2012-02-09,750,1722,0
2012-02-09,823,1527,0
2012-02-09,837,1040,100
2012-02-09,869,2865,280
2012-02-09,890,1928,0
2012-02-09,909,2033,0
2012-02-09,947,5290,520
2012-02-09,960,641,60
2012-02-09,969,4161,410
2012-02-09,1003,4139,410
2012-02-09,1034,2537,250
2012-02-09,1058,4521,450
2012-02-10,13,4701,0
2012-02-10,39,565,50
2012-02-10,137,5624,560
2012-02-10,172,5813,580
2012-02-10,176,4997,490
2012-02-10,238,1709,0
2012-02-10,264,894,0
2012-02-10,291,2058,200
2012-02-10,347,9863,980
2012-02-10,393,1300,130
2012-02-10,397,998,0
2012-02-10,466,4579,0
2012-02-10,482,5326,0
2012-02-10,522,3515,350
2012-02-10,585,1569,150
2012-02-10,660,1231,0
2012-02-10,891,1912,0
2012-02-10,923,5777,570
2012-02-10,960,1104,110
2012-02-10,1003,3296,320
2012-02-10,1052,1672,0
2012-02-10,1091,2977,290
2012-02-11,13,4909,0
2012-02-11,68,1688,0
2012-02-11,115,5442,540
2012-02-11,160,1059,100
2012-02-11,164,7940,0
2012-02-11,202,5195,510
2012-02-11,212,2200,220
2012-02-11,268,7889,780
2012-02-11,372,910,90
2012-02-11,415,3562,350
2012-02-11,480,2873,280
2012-02-11,558,3119,310
2012-02-11,641,3920,0
2012-02-11,684,2300,230
2012-02-11,865,2569,250
2012-02-11,903,1670,0
2012-02-11,926,4714,0
2012-02-11,963,1031,0
2012-02-11,990,1244,0
2012-02-11,1082,7629,0
2012-02-11,1091,3903,390
2012-02-11,1109,5658,560
2012-02-12,27,2794,0
2012-02-12,69,1252,0
2012-02-12,99,4224,420
2012-02-12,115,4963,490
2012-02-12,121,4028,0
2012-02-12,192,1181,0
2012-02-12,225,8539,850
2012-02-12,420,2216,220
2012-02-12,422,5156,510
2012-02-12,455,5511,550
2012-02-12,522,2363,230
2012-02-12,585,1186,110
2012-02-12,714,2342,230
2012-02-12,734,4586,450
2012-02-12,744,2778,0
2012-02-12,765,11879,0
2012-02-12,779,3108,310
2012-02-12,867,5450,0
2012-02-12,941,4617,460
2012-02-12,949,1636,160
2012-02-12,984,1890,0
2012-02-12,1039,1132,110
2012-02-12,1052,928,0
2012-02-12,1091,4141,410
2012-02-12,1172,2486,0
2012-02-13,7,1404,0
2012-02-13,105,2328,230
2012-02-13,109,3445,340
2012-02-13,121,2039,0
2012-02-13,268,7698,760
2012-02-13,291,2097,200
2012-02-13,310,6107,610
2012-02-13,328,805,0
2012-02-13,343,1839,0
2012-02-13,390,2815,0
2012-02-13,412,1379,0
2012-02-13,423,5388,530
2012-02-13,482,4202,0
2012-02-13,533,9933,990
2012-02-13,588,6577,0
2012-02-13,611,506,0
2012-02-13,614,2868,0
2012-02-13,642,476,40
2012-02-13,667,1746,170
2012-02-13,732,1729,0
2012-02-13,734,4076,400
2012-02-13,764,1036,100
2012-02-13,773,2499,240
2012-02-13,907,179,10
2012-02-13,923,5317,530
2012-02-13,937,4348,0
2012-02-13,947,2435,240
2012-02-13,1011,3851,380
2012-02-13,1064,2961,0
2012-02-13,1177,5749,0
2012-02-13,1195,2169,210
2012-02-14,5,2376,230
2012-02-14,99,4259,420
2012-02-14,146,7486,740
2012-02-14,189,1384,0
2012-02-14,202,2702,270
2012-02-14,234,8804,0
2012-02-14,268,9061,-4150
2012-02-14,369,2868,280
2012-02-14,371,860,0
2012-02-14,372,2500,250
2012-02-14,395,1109,0
2012-02-14,422,5190,510
2012-02-14,423,7812,780
2012-02-14,486,1241,120
2012-02-14,495,2368,0
2012-02-14,509,4561,450
2012-02-14,522,2912,290
2012-02-14,638,1780,170
2012-02-14,670,1243,0
2012-02-14,686,219,20
2012-02-14,750,885,0
2012-02-14,837,753,70
2012-02-14,913,2645,0
2012-02-14,991,193,0
2012-02-14,1009,130,0
2012-02-14,1040,2783,270
2012-02-14,1064,2784,0
2012-02-14,1098,4751,0
2012-02-14,1109,4495,440
2012-02-14,1209,2423,240
2012-02-15,17,1976,0
2012-02-15,48,2681,260
2012-02-15,70,2036,200
2012-02-15,102,2412,240
2012-02-15,146,7276,720
2012-02-15,191,10333,0
2012-02-15,193,2778,0
2012-02-15,372,2408,240
2012-02-15,460,2316,230
2012-02-15,482,4926,0
2012-02-15,483,3075,300
2012-02-15,509,7612,760
2012-02-15,528,1409,140
2012-02-15,616,1799,0
2012-02-15,620,6442,0
2012-02-15,627,2888,0
2012-02-15,672,2673,260
2012-02-15,716,1522,150
2012-02-15,726,1490,0
2012-02-15,770,2366,0
2012-02-15,779,3874,380
2012-02-15,798,1772,0
2012-02-15,836,1848,180
2012-02-15,941,4225,420
2012-02-15,947,2627,260
2012-02-15,954,1793,0
2012-02-15,980,1811,180
2012-02-15,1004,3456,340
2012-02-15,1021,4820,480
2012-02-15,1034,1330,130
2012-02-15,1052,1338,0
2012-02-15,1169,3601,360
2012-02-15,1203,1954,0
2012-02-15,1209,2325,230
2012-02-15,1214,4209,0
2012-02-15,1245,1546,150
2012-02-16,13,5624,0
2012-02-16,17,1139,0
2012-02-16,68,433,0
2012-02-16,102,2794,270
2012-02-16,128,1400,140
2012-02-16,225,8190,810
2012-02-16,291,2239,220
2012-02-16,298,2792,270
2012-02-16,320,4638,0
2012-02-16,423,6918,690
2012-02-16,436,3686,0
2012-02-16,455,4562,450
2012-02-16,482,4345,0
2012-02-16,505,698,60
2012-02-16,536,10923,1090
2012-02-16,732,2283,0
2012-02-16,779,4054,400
2012-02-16,797,1544,0
2012-02-16,815,1546,0
2012-02-16,839,466,40
2012-02-16,868,2313,0
2012-02-16,950,1949,0
2012-02-16,984,1869,0
2012-02-16,1003,3381,330
2012-02-16,1064,3778,0
2012-02-16,1115,1458,140
2012-02-16,1121,3543,0
2012-02-16,1128,3698,0
2012-02-16,1205,3381,330
2012-02-16,1215,6264,0
2012-02-16,1260,1921,0
2012-02-16,1280,6602,660
2012-02-17,101,3334,0
2012-02-17,165,4344,430
2012-02-17,225,8374,830
2012-02-17,266,10576,0
2012-02-17,321,1104,110
2012-02-17,414,3503,0
2012-02-17,518,1196,110
2012-02-17,565,2863,0
2012-02-17,588,6002,0
2012-02-17,612,1593,0
2012-02-17,613,7825,780
2012-02-17,646,5584,0
2012-02-17,732,1319,0
2012-02-17,734,3866,380
2012-02-17,744,4321,0
2012-02-17,891,3136,0
2012-02-17,1034,2416,240
2012-02-17,1156,8207,820
2012-02-17,1243,1717,170
2012-02-17,1305,1126,110
2012-02-18,55,5083,500
2012-02-18,70,1945,190
2012-02-18,190,4847,480
2012-02-18,236,2219,220
2012-02-18,288,1165,110
2012-02-18,322,3237,320
2012-02-18,349,5995,590
2012-02-18,369,3627,360
2012-02-18,374,2083,200
2012-02-18,410,1191,110
2012-02-18,420,1666,160
2012-02-18,422,5298,520
2012-02-18,423,8099,-4250
2012-02-18,437,1960,190
2012-02-18,477,2787,270
2012-02-18,482,4641,0
2012-02-18,637,5028,500
2012-02-18,686,344,30
2012-02-18,706,1425,140
2012-02-18,733,0,0
2012-02-18,734,3804,380
2012-02-18,741,1165,0
2012-02-18,843,6698,660
2012-02-18,867,5717,0
2012-02-18,915,91,0
2012-02-18,923,4953,490
2012-02-18,941,4567,450
2012-02-18,947,3807,380
2012-02-18,963,614,0
2012-02-18,969,3987,390
2012-02-18,974,171,0
2012-02-18,988,4449,0
2012-02-18,997,4125,0
2012-02-18,1004,4541,450
2012-02-18,1021,2950,290
2012-02-18,1052,2407,0
2012-02-18,1065,1545,0
2012-02-18,1091,4303,430
2012-02-18,1156,8786,870
2012-02-18,1243,1467,140
2012-02-18,1332,1005,0
2012-02-19,26,952,0
2012-02-19,55,5416,540
2012-02-19,56,4914,490
2012-02-19,68,1232,0
2012-02-19,93,1803,180
2012-02-19,99,2630,260
2012-02-19,143,2537,0
2012-02-19,242,2782,270
2012-02-19,251,1213,120
2012-02-19,259,1080,100
2012-02-19,263,611,60
2012-02-19,285,2231,220
2012-02-19,423,6134,610
2012-02-19,436,4570,0
2012-02-19,470,1970,190
2012-02-19,547,2908,290
2012-02-19,588,5344,0
2012-02-19,700,473,0
2012-02-19,721,1643,0
2012-02-19,744,4127,0
2012-02-19,803,1395,0
2012-02-19,860,988,90
2012-02-19,867,5976,0
2012-02-19,890,2270,0
2012-02-19,901,1612,160
2012-02-19,923,6447,640
2012-02-19,933,1512,150
2012-02-19,950,1515,0
2012-02-19,981,1640,160
2012-02-19,983,407,40
2012-02-19,1004,3590,350
2012-02-19,1032,4326,430
2012-02-19,1052,2035,0
2012-02-19,1147,3637,0
2012-02-19,1156,8990,890
2012-02-19,1224,981,90
2012-02-19,1280,7854,780
2012-02-19,1293,2162,0
2012-02-20,12,1693,160
2012-02-20,27,2233,0
2012-02-20,36,709,70
2012-02-20,48,1930,190
2012-02-20,175,1739,170
2012-02-20,178,1356,0
2012-02-20,195,3228,320
2012-02-20,225,8074,800
2012-02-20,263,455,40
2012-02-20,291,3605,360
2012-02-20,323,1675,160
2012-02-20,347,10390,1030
2012-02-20,423,7639,760
2012-02-20,483,2122,210
2012-02-20,588,5784,0
2012-02-20,598,1338,130
2012-02-20,897,1593,150
2012-02-20,916,1626,0
2012-02-20,924,2469,0
2012-02-20,937,5288,0
2012-02-20,960,0,0
2012-02-20,984,578,0
2012-02-20,999,3001,0
2012-02-20,1004,3902,390
2012-02-20,1107,2041,0
2012-02-20,1181,4189,410
2012-02-20,1203,1149,0
2012-02-20,1209,2326,230
2012-02-20,1243,1215,120
2012-02-20,1260,1978,0
2012-02-20,1314,1938,190
2012-02-20,1321,2372,230
2012-02-20,1347,1295,120
2012-02-20,1354,740,0
2012-02-21,55,4420,440
2012-02-21,70,1748,170
2012-02-21,121,1968,0
2012-02-21,206,1800,180
2012-02-21,211,1967,190
2012-02-21,269,624,60
2012-02-21,340,1291,120
2012-02-21,455,4070,400
2012-02-21,561,1370,130
2012-02-21,562,3416,0
2012-02-21,689,6467,640
2012-02-21,716,2367,230
2012-02-21,926,2152,0
2012-02-21,957,1174,110
2012-02-21,963,1425,0
2012-02-21,1003,3800,380
2012-02-21,1069,3745,0
2012-02-21,1086,3937,0
2012-02-21,1197,2148,0
2012-02-21,1290,2824,280
2012-02-21,1330,4463,0
2012-02-21,1331,1051,0
2012-02-21,1354,955,0
2012-02-21,1357,9428,0
2012-02-22,56,5256,520
2012-02-22,69,2311,0
2012-02-22,85,2743,0
2012-02-22,155,2918,290
2012-02-22,190,4878,480
2012-02-22,202,3457,340
2012-02-22,288,1138,110
2012-02-22,307,1652,0
2012-02-22,322,4335,430
2012-02-22,369,3321,330
2012-02-22,522,2640,260
2012-02-22,562,2532,0
2012-02-22,586,2379,0
2012-02-22,637,5416,540
2012-02-22,667,1713,170
2012-02-22,714,1556,150
2012-02-22,773,3060,300
2012-02-22,791,2995,290
2012-02-22,889,1371,130
2012-02-22,923,5321,530
2012-02-22,947,4970,490
2012-02-22,950,2344,0
2012-02-22,975,1534,150
2012-02-22,1036,12718,0
2012-02-22,1079,3711,0
2012-02-22,1108,2871,280
2012-02-22,1151,2326,230
2012-02-22,1209,2172,210
2012-02-22,1276,3164,0
2012-02-22,1280,8360,830
2012-02-22,1314,3124,310
2012-02-22,1316,6694,660
2012-02-23,6,3030,300
2012-02-23,13,5375,0
2012-02-23,52,221,20
2012-02-23,115,5962,-4460
2012-02-23,129,1113,110
2012-02-23,172,5813,580
2012-02-23,202,4455,440
2012-02-23,307,1425,0
2012-02-23,412,733,0
2012-02-23,455,5088,500
2012-02-23,536,9995,990
2012-02-23,667,2267,220
2012-02-23,688,4245,420
2012-02-23,714,1316,130
2012-02-23,744,2675,0
2012-02-23,765,12784,0
2012-02-23,791,5605,560
2012-02-23,891,2689,0
2012-02-23,923,6105,610
2012-02-23,924,1411,0
2012-02-23,960,2328,230
2012-02-23,997,3904,0
2012-02-23,1008,1583,0
2012-02-23,1053,2317,230
2012-02-23,1076,1048,100
2012-02-23,1316,6624,660
2012-02-23,1330,4217,0
2012-02-23,1354,721,0
2012-02-23,1367,2863,280
2012-02-23,1425,1932,190
2012-02-23,1439,7531,0
2012-02-23,1459,1149,0
2012-02-23,1471,581,50
2012-02-24,13,5486,0
2012-02-24,21,6175,610
2012-02-24,40,4293,420
2012-02-24,70,1931,190
2012-02-24,124,2474,0
2012-02-24,212,946,90
2012-02-24,274,2177,0
2012-02-24,277,2689,260
2012-02-24,291,1416,140
2012-02-24,400,1787,0
2012-02-24,414,2641,0
2012-02-24,483,1829,180
2012-02-24,519,7877,0
2012-02-24,529,8035,800
2012-02-24,549,3458,340
2012-02-24,564,2243,220
2012-02-24,585,1523,150
