id,signup_date,loyalty,location,gender,age,favorite_movie_line,number_of_purchases,value_of_purchases,total_standard_points,total_points_redeemed
199,2012-01-08,control,,,,,,,,
200,2012-01-08,enrolled,LA,,,,,,,
201,2012-01-08,enrolled,LA,,wise,I'm the king of the world!,,,,
202,2012-01-08,enrolled,SF,,youthful,,,,,
203,2012-01-08,control,,C,youthful,"Elementary, my dear Watson.",,,,
204,2012-01-08,control,SF,,youthful,They're here!,,,,
205,2012-01-08,control,SF,,,"Hello, gorgeous.",,,,
206,2012-01-08,enrolled,NYC,A,youthful,,,,,
207,2012-01-08,enrolled,,,,,,,,
208,2012-01-08,enrolled,,A,young,,,,,
209,2012-01-08,control,,D,youthful,,,,,
210,2012-01-08,control,,B,,"Made it, Ma! Top of the world!",,,,
211,2012-01-08,enrolled,,,,,,,,
212,2012-01-08,enrolled,,A,youthful,"If you build it, he will come.",,,,
213,2012-01-08,enrolled,,A,,"You've got to ask yourself one question: 'Do I feel lucky?' Well, do ya, punk?",,,,
214,2012-01-08,enrolled,LA,B,oldish,,,,,
215,2012-01-08,control,NYC,A,young,Show me the money!,,,,
216,2012-01-08,enrolled,,,,,,,,
217,2012-01-08,control,,,wise,,,,,
218,2012-01-08,control,LA,,,I'll have what she's having.,,,,
219,2012-01-08,enrolled,,,wise,,,,,
220,2012-01-08,control,,B,,,,,,
221,2012-01-08,enrolled,SF,,youthful,I'll be back.,,,,
222,2012-01-08,control,NYC,,young,,,,,
223,2012-01-08,control,,,wise,,,,,
224,2012-01-08,control,,,,,,,,
225,2012-01-09,enrolled,,,youthful,,,,,
226,2012-01-09,control,LA,D,youthful,"Say ""hello"" to my little friend!",,,,
227,2012-01-09,enrolled,NYC,,young,,,,,
228,2012-01-09,control,LA,D,young,Why don't you come up sometime and see me?,,,,
229,2012-01-09,enrolled,,B,,,,,,
230,2012-01-09,enrolled,LA,,,,,,,
231,2012-01-09,control,SF,B,,"Frankly, my dear, I don't give a damn.",,,,
232,2012-01-09,enrolled,,A,,Who's on first.,,,,
233,2012-01-09,control,LA,C,,,,,,
234,2012-01-09,control,,D,youthful,,,,,
235,2012-01-09,control,,B,,"Listen to me, mister. You're my knight in shining armor.  Don't you forget it.  You're going to get back on that horse, and I'm going to be right behind you, holding on tight, and away we're gonna go, go, go!",,,,
236,2012-01-09,enrolled,,B,youthful,It's alive!  It's alive!,,,,
237,2012-01-09,control,,B,,,,,,
238,2012-01-09,control,,,,"Take your stinking paws off me, you damned dirty ape.",,,,
239,2012-01-09,control,LA,,wise,,,,,
240,2012-01-09,enrolled,LA,B,young,,,,,
241,2012-01-09,control,,,young,,,,,
242,2012-01-09,enrolled,SF,B,youthful,"La-dee-da, la-dee-da.",,,,
243,2012-01-09,enrolled,,,,Fasten your seatbelts. It's going to be a bumpy night.,,,,
244,2012-01-09,enrolled,NYC,,,"You don't understand!  I coulda had class. I coulda been a contender. I could've been somebody, instead of a bum, which is what I am.",,,,
245,2012-01-09,control,,,,"Frankly, my dear, I don't give a damn.",,,,
246,2012-01-09,control,,D,oldish,They're here!,,,,
247,2012-01-09,enrolled,NYC,,oldish,"Greed, for lack of a better word, is good.",,,,
248,2012-01-09,control,LA,C,,Soylent Green is people!,,,,
249,2012-01-09,control,LA,,,,,,,
250,2012-01-09,enrolled,SF,C,,E.T. phone home.,,,,
251,2012-01-09,enrolled,,A,,,,,,
252,2012-01-09,control,SF,D,young,"You don't understand!  I coulda had class. I coulda been a contender. I could've been somebody, instead of a bum, which is what I am.",,,,
253,2012-01-09,enrolled,,A,,"La-dee-da, la-dee-da.",,,,
254,2012-01-10,control,,,wise,,,,,
255,2012-01-10,control,SF,,young,,,,,
256,2012-01-10,control,SF,B,,"Greed, for lack of a better word, is good.",,,,
257,2012-01-10,enrolled,NYC,,,"Wait a minute, wait a minute.  You ain't heard nothin' yet!",,,,
258,2012-01-10,control,NYC,,oldish,,,,,
259,2012-01-10,enrolled,,,wise,You can't handle the truth!,,,,
260,2012-01-10,control,,C,,Soylent Green is people!,,,,
261,2012-01-10,enrolled,NYC,B,oldish,Badges? We ain't got no badges! We don't need no badges! I don't have to show you any stinking badges!,,,,
262,2012-01-10,control,,,,Fasten your seatbelts. It's going to be a bumpy night.,,,,
263,2012-01-10,enrolled,SF,A,,,,,,
264,2012-01-10,control,LA,,young,,,,,
265,2012-01-10,enrolled,SF,,,,,,,
266,2012-01-10,control,,C,youthful,,,,,
267,2012-01-10,enrolled,NYC,D,,"You had me at ""hello.""",,,,
268,2012-01-10,enrolled,NYC,C,,"Greed, for lack of a better word, is good.",,,,
269,2012-01-10,enrolled,NYC,,,,,,,
270,2012-01-10,control,SF,,wise,,,,,
271,2012-01-10,control,NYC,D,,"You know how to whistle, don't you, Steve? You just put your lips together and blow.",,,,
272,2012-01-10,enrolled,,,young,,,,,
273,2012-01-10,control,,B,,They're here!,,,,
274,2012-01-11,control,,,youthful,It's alive!  It's alive!,,,,
275,2012-01-11,control,NYC,C,,Show me the money!,,,,
276,2012-01-11,enrolled,NYC,A,,I'm gonna make him an offer he can't refuse.,,,,
277,2012-01-11,enrolled,LA,,,,,,,
278,2012-01-11,enrolled,,,,My precious.,,,,
279,2012-01-11,enrolled,,,,,,,,
280,2012-01-11,enrolled,SF,,,"You don't understand!  I coulda had class. I coulda been a contender. I could've been somebody, instead of a bum, which is what I am.",,,,
281,2012-01-11,control,NYC,,,,,,,
282,2012-01-11,enrolled,,A,,"I'll get you, my pretty, and your little dog, too!",,,,
283,2012-01-11,enrolled,SF,B,oldish,"One morning I shot an elephant in my pajamas. How he got in my pajamas, I don't know.",,,,
284,2012-01-11,enrolled,SF,A,,My precious.,,,,
285,2012-01-11,enrolled,NYC,C,oldish,,,,,
286,2012-01-11,control,LA,,oldish,,,,,
287,2012-01-11,enrolled,NYC,B,oldish,,,,,
288,2012-01-11,enrolled,,D,,"Stella!  Hey, Stella!",,,,
289,2012-01-11,enrolled,,D,wise,,,,,
290,2012-01-11,enrolled,NYC,A,,A census taker once tried to test me. I ate his liver with some fava beans and a nice Chianti.,,,,
291,2012-01-11,enrolled,,B,,,,,,
292,2012-01-11,enrolled,,D,,What we've got here is failure to communicate.,,,,
293,2012-01-11,enrolled,NYC,,,,,,,
294,2012-01-11,enrolled,LA,B,wise,,,,,
295,2012-01-11,enrolled,,A,,,,,,
296,2012-01-11,enrolled,NYC,D,youthful,"Open the pod bay doors, HAL.",,,,
297,2012-01-11,control,,,,We'll always have Paris.,,,,
298,2012-01-11,enrolled,,C,wise,,,,,
299,2012-01-11,enrolled,SF,A,youthful,,,,,
300,2012-01-11,control,LA,,youthful,E.T. phone home.,,,,
301,2012-01-11,control,LA,A,,,,,,
302,2012-01-11,enrolled,LA,,wise,,,,,
303,2012-01-11,control,,D,,,,,,
304,2012-01-11,control,SF,C,young,"After all, tomorrow is another day!",,,,
305,2012-01-11,enrolled,,,,,,,,
306,2012-01-12,enrolled,LA,,wise,"You've got to ask yourself one question: 'Do I feel lucky?' Well, do ya, punk?",,,,
307,2012-01-12,control,NYC,D,,Tell 'em to go out there with all they got and win just one for the Gipper.,,,,
308,2012-01-12,enrolled,,,youthful,,,,,
309,2012-01-12,enrolled,,,wise,Listen to them.  Children of the night.  What music they make.,,,,
310,2012-01-12,enrolled,NYC,B,youthful,Badges? We ain't got no badges! We don't need no badges! I don't have to show you any stinking badges!,,,,
311,2012-01-12,enrolled,NYC,,wise,My mother thanks you. My father thanks you. My sister thanks you. And I thank you.,,,,
312,2012-01-12,control,SF,A,young,,,,,
313,2012-01-12,control,,,,,,,,
314,2012-01-12,enrolled,,,,,,,,
315,2012-01-12,control,,C,,,,,,
316,2012-01-12,control,NYC,D,,Why don't you come up sometime and see me?,,,,
317,2012-01-12,enrolled,SF,D,,,,,,
318,2012-01-12,enrolled,SF,C,,"Of all the gin joints in all the towns in all the world, she walks into mine.",,,,
319,2012-01-12,enrolled,,,,,,,,
320,2012-01-12,control,,,youthful,Fasten your seatbelts. It's going to be a bumpy night.,,,,
321,2012-01-12,enrolled,,C,wise,,,,,
322,2012-01-12,enrolled,,,,,,,,
323,2012-01-12,enrolled,SF,,,,,,,
324,2012-01-12,control,NYC,,,,,,,
325,2012-01-12,control,SF,,,We rob banks.,,,,
326,2012-01-12,enrolled,SF,,young,Show me the money!,,,,
327,2012-01-12,enrolled,,,oldish,Shane.  Shane.  Come back!,,,,
328,2012-01-13,control,SF,,oldish,,,,,
329,2012-01-13,enrolled,,B,wise,,,,,
330,2012-01-13,enrolled,,,wise,,,,,
331,2012-01-13,control,,,,My precious.,,,,
332,2012-01-13,control,,,oldish,"You've got to ask yourself one question: 'Do I feel lucky?' Well, do ya, punk?",,,,
333,2012-01-13,control,,,young,I'll be back.,,,,
334,2012-01-13,enrolled,,C,young,,,,,
335,2012-01-13,control,LA,,youthful,,,,,
336,2012-01-13,enrolled,,A,youthful,Tell 'em to go out there with all they got and win just one for the Gipper.,,,,
337,2012-01-13,control,NYC,,oldish,"Hello, gorgeous.",,,,
338,2012-01-13,control,SF,B,youthful,,,,,
339,2012-01-13,enrolled,LA,B,wise,"If you build it, he will come.",,,,
340,2012-01-13,enrolled,,,oldish,"Life is a banquet, and most poor suckers are starving to death!",,,,
341,2012-01-13,enrolled,NYC,D,oldish,"After all, tomorrow is another day!",,,,
342,2012-01-13,control,,,,,,,,
343,2012-01-13,control,NYC,,,"After all, tomorrow is another day!",,,,
344,2012-01-13,enrolled,SF,B,,,,,,
345,2012-01-13,enrolled,,B,young,,,,,
346,2012-01-13,enrolled,,,oldish,"Here's looking at you, kid.",,,,
347,2012-01-13,enrolled,,,oldish,Listen to them.  Children of the night.  What music they make.,,,,
348,2012-01-13,enrolled,LA,B,,"Take your stinking paws off me, you damned dirty ape.",,,,
349,2012-01-13,enrolled,NYC,B,youthful,,,,,
350,2012-01-13,control,,A,wise,,,,,
351,2012-01-13,control,,,,"Louis, I think this is the beginning of a beautiful friendship.",,,,
352,2012-01-13,control,SF,,,,,,,
353,2012-01-13,enrolled,,,oldish,,,,,
354,2012-01-13,control,,A,,We rob banks.,,,,
355,2012-01-14,control,LA,,wise,,,,,
356,2012-01-14,control,NYC,,,,,,,
357,2012-01-14,enrolled,LA,,oldish,Soylent Green is people!,,,,
358,2012-01-14,control,NYC,,,"Well, nobody's perfect.",,,,
359,2012-01-14,enrolled,NYC,D,,"I'll get you, my pretty, and your little dog, too!",,,,
360,2012-01-14,control,,C,youthful,"Hello, gorgeous.",,,,
361,2012-01-14,enrolled,,,wise,"Frankly, my dear, I don't give a damn.",,,,
362,2012-01-14,enrolled,,C,wise,"Frankly, my dear, I don't give a damn.",,,,
363,2012-01-14,enrolled,NYC,,,I'm gonna make him an offer he can't refuse.,,,,
364,2012-01-14,control,,D,,,,,,
365,2012-01-14,enrolled,,,young,,,,,
366,2012-01-14,enrolled,LA,,wise,"La-dee-da, la-dee-da.",,,,
367,2012-01-14,enrolled,,,,They're here!,,,,
368,2012-01-14,enrolled,SF,,young,What a dump.,,,,
369,2012-01-14,enrolled,,,oldish,We rob banks.,,,,
370,2012-01-14,enrolled,,B,,They call me Mister Tibbs!,,,,
371,2012-01-14,control,SF,,oldish,"Hello, gorgeous.",,,,
372,2012-01-14,enrolled,,A,young,Fasten your seatbelts. It's going to be a bumpy night.,,,,
373,2012-01-14,control,SF,,wise,,,,,
374,2012-01-14,enrolled,,A,,Badges? We ain't got no badges! We don't need no badges! I don't have to show you any stinking badges!,,,,
375,2012-01-14,control,SF,,,"Elementary, my dear Watson.",,,,
376,2012-01-14,control,,,oldish,,,,,
377,2012-01-14,control,,C,oldish,"Take your stinking paws off me, you damned dirty ape.",,,,
378,2012-01-14,control,,,,,,,,
379,2012-01-14,enrolled,NYC,,oldish,It's alive!  It's alive!,,,,
380,2012-01-14,control,,A,,Toga!  Toga!,,,,
381,2012-01-15,control,NYC,B,,,,,,
382,2012-01-15,enrolled,,B,wise,"Say ""hello"" to my little friend!",,,,
383,2012-01-15,control,,,,,,,,
384,2012-01-15,enrolled,,B,,"Wait a minute, wait a minute.  You ain't heard nothin' yet!",,,,
385,2012-01-15,control,LA,,wise,,,,,
386,2012-01-15,enrolled,NYC,,youthful,I'll have what she's having.,,,,
387,2012-01-15,enrolled,,D,,,,,,
388,2012-01-15,enrolled,SF,,,,,,,
389,2012-01-15,control,SF,B,,,,,,
390,2012-01-15,control,,C,oldish,,,,,
391,2012-01-15,control,,D,wise,"Take your stinking paws off me, you damned dirty ape.",,,,
392,2012-01-15,enrolled,NYC,B,youthful,You can't handle the truth!,,,,
393,2012-01-15,enrolled,SF,A,,Fasten your seatbelts. It's going to be a bumpy night.,,,,
394,2012-01-15,enrolled,,B,,I want to be alone.,,,,
395,2012-01-15,control,SF,,,I'll be back.,,,,
396,2012-01-15,enrolled,LA,D,,,,,,
397,2012-01-15,control,,,,,,,,
398,2012-01-15,control,NYC,,wise,A boy's best friend is his mother.,,,,
399,2012-01-15,control,,,,"Life is a banquet, and most poor suckers are starving to death!",,,,
400,2012-01-15,control,,D,young,"Take your stinking paws off me, you damned dirty ape.",,,,
401,2012-01-15,enrolled,LA,D,young,,,,,
402,2012-01-15,enrolled,NYC,,oldish,"Here's looking at you, kid.",,,,
403,2012-01-15,enrolled,,A,oldish,,,,,
404,2012-01-15,control,,B,youthful,,,,,
405,2012-01-15,enrolled,LA,,wise,A census taker once tried to test me. I ate his liver with some fava beans and a nice Chianti.,,,,
406,2012-01-16,enrolled,LA,,youthful,Rosebud.,,,,
407,2012-01-16,enrolled,,,,,,,,
408,2012-01-16,enrolled,NYC,B,,,,,,
409,2012-01-16,enrolled,NYC,C,young,"Hello, gorgeous.",,,,
410,2012-01-16,enrolled,NYC,,youthful,E.T. phone home.,,,,
411,2012-01-16,control,SF,B,youthful,Who's on first.,,,,
412,2012-01-16,control,LA,,wise,Why don't you come up sometime and see me?,,,,
413,2012-01-16,control,SF,A,wise,,,,,
414,2012-01-16,control,,C,youthful,,,,,
415,2012-01-16,enrolled,,D,wise,,,,,
416,2012-01-16,enrolled,,,oldish,,,,,
417,2012-01-16,control,,C,oldish,,,,,
418,2012-01-16,control,NYC,,,,,,,
419,2012-01-16,enrolled,,D,oldish,Rosebud.,,,,
420,2012-01-16,enrolled,SF,,,"You've got to ask yourself one question: 'Do I feel lucky?' Well, do ya, punk?",,,,
421,2012-01-16,enrolled,,A,youthful,,,,,
422,2012-01-16,enrolled,,,,"You've got to ask yourself one question: 'Do I feel lucky?' Well, do ya, punk?",,,,
423,2012-01-16,enrolled,,B,youthful,,,,,
424,2012-01-16,enrolled,,,youthful,I have always depended on the kindness of strangers.,,,,
425,2012-01-16,control,SF,C,wise,,,,,
426,2012-01-16,control,,,youthful,A census taker once tried to test me. I ate his liver with some fava beans and a nice Chianti.,,,,
427,2012-01-16,enrolled,LA,,,,,,,
428,2012-01-16,enrolled,,B,wise,"Frankly, my dear, I don't give a damn.",,,,
429,2012-01-16,control,NYC,C,,It's alive!  It's alive!,,,,
430,2012-01-16,control,LA,C,,"Yo, Adrian!",,,,
431,2012-01-16,enrolled,NYC,,youthful,"Mother of mercy, is this the end of Rico?",,,,
432,2012-01-16,enrolled,LA,A,wise,You can't handle the truth!,,,,
433,2012-01-17,enrolled,SF,,,,,,,
434,2012-01-17,enrolled,,,youthful,"One morning I shot an elephant in my pajamas. How he got in my pajamas, I don't know.",,,,
435,2012-01-17,enrolled,,,,It's alive!  It's alive!,,,,
436,2012-01-17,control,LA,,,"Elementary, my dear Watson.",,,,
437,2012-01-17,enrolled,NYC,D,,,,,,
